period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_01,banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,11522,raw_table_preserved,34,10,ok,
2018_01,banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,11522,raw_table_flat,35,10,ok,
2018_01,banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\banking_system_stability_indicators_of_the_republic_of_uzbekistan_the_central_bank_of_the_republic_of_uzbekistan_71443_html_fallback.xlsx,11522,metadata,8,2,ok,
2018_01,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,7165,raw_table_preserved,9,5,ok,
2018_01,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,7165,raw_table_flat,10,5,ok,
2018_01,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71452_html_fallback.xlsx,7165,metadata,8,2,ok,
2018_01,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,9282,raw_table_preserved,31,6,ok,
2018_01,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,9282,raw_table_flat,32,6,ok,
2018_01,consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\consolidated_balance_of_commercial_banks_the_central_bank_of_the_republic_of_uzbekistan_71445_html_fallback.xlsx,9282,metadata,8,2,ok,
2018_01,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,7641,raw_table_preserved,12,6,ok,
2018_01,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,7641,raw_table_flat,13,6,ok,
2018_01,information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_commercial_bank_loans_by_economic_sectors_the_central_bank_of_the_republic_of_uzbekistan_71454_html_fallback.xlsx,7641,metadata,8,2,ok,
2018_01,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,7362,raw_table_preserved,6,9,ok,
2018_01,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,7362,raw_table_flat,7,9,ok,
2018_01,information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_major_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71450_html_fallback.xlsx,7362,metadata,8,2,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,raw_table_preserved,9,7,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,raw_table_flat,10,7,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,metadata,8,2,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,12612,raw_table_preserved,33,14,ok,
